0x00,0x00,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x00,0x00,
0x00,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x00,
0x3F,0x3F,0xFF,0xFF,0x3F,0x3F,0x3F,0xFF,0xFF,0x3F,
0x3F,0xFF,0xC0,0xC0,0x3F,0x3F,0xFF,0xC0,0xC0,0x3F,
0x3F,0xFF,0xC0,0xC0,0x3F,0x3F,0xFF,0xC0,0xC0,0x3F,
0x3F,0x3F,0xFF,0x3F,0x3F,0x3F,0x3F,0xFF,0x3F,0x3F,
0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,
0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,
0x3F,0x3F,0x00,0x3F,0x3F,0x3F,0x3F,0x00,0x3F,0x3F,
0x00,0x3F,0x00,0x00,0x3F,0x3F,0x00,0x00,0x3F,0x00
